Original_Index,Noisy_Label,Noisy_Class,Suggested_Label,Suggested_Class,Confidence_Score,Action_Pruned_Models,Action_Corrected_Models
2753,1,automobile,3,cat,0.232006118,REMOVED,FIXED → Suggested_Class
14114,0,airplane,5,dog,0.237666756,REMOVED,FIXED → Suggested_Class
21974,0,airplane,2,bird,0.253635019,REMOVED,FIXED → Suggested_Class
36990,3,cat,7,horse,0.258547544,REMOVED,FIXED → Suggested_Class
74,3,cat,5,dog,0.262749612,REMOVED,FIXED → Suggested_Class
28554,5,dog,6,frog,0.263135403,REMOVED,FIXED → Suggested_Class
30756,3,cat,5,dog,0.264719903,REMOVED,FIXED → Suggested_Class
27619,5,dog,4,deer,0.274955958,REMOVED,FIXED → Suggested_Class
30586,5,dog,4,deer,0.279119253,REMOVED,FIXED → Suggested_Class
19099,3,cat,5,dog,0.279454052,REMOVED,FIXED → Suggested_Class
36849,0,airplane,3,cat,0.280941516,REMOVED,FIXED → Suggested_Class
11746,0,airplane,3,cat,0.28562057,REMOVED,FIXED → Suggested_Class
44950,5,dog,3,cat,0.285737693,REMOVED,FIXED → Suggested_Class
13547,7,horse,5,dog,0.286483884,REMOVED,FIXED → Suggested_Class
48545,0,airplane,3,cat,0.291996777,REMOVED,FIXED → Suggested_Class
18553,4,deer,5,dog,0.293347001,REMOVED,FIXED → Suggested_Class
44788,6,frog,0,airplane,0.293426543,REMOVED,FIXED → Suggested_Class
32021,3,cat,2,bird,0.294686735,REMOVED,FIXED → Suggested_Class
7253,3,cat,2,bird,0.295439988,REMOVED,FIXED → Suggested_Class
18934,6,frog,8,ship,0.297492534,REMOVED,FIXED → Suggested_Class
44978,4,deer,7,horse,0.298728853,REMOVED,FIXED → Suggested_Class
48786,6,frog,3,cat,0.299559772,REMOVED,FIXED → Suggested_Class
33358,5,dog,7,horse,0.300050706,REMOVED,FIXED → Suggested_Class
30926,8,ship,1,automobile,0.30090642,REMOVED,FIXED → Suggested_Class
46931,0,airplane,2,bird,0.300948411,REMOVED,FIXED → Suggested_Class
27704,0,airplane,2,bird,0.301660955,REMOVED,FIXED → Suggested_Class
12874,6,frog,5,dog,0.304012805,REMOVED,FIXED → Suggested_Class
22047,5,dog,4,deer,0.305089563,REMOVED,FIXED → Suggested_Class
38941,4,deer,5,dog,0.305552691,REMOVED,FIXED → Suggested_Class
2525,3,cat,6,frog,0.305666357,REMOVED,FIXED → Suggested_Class
35136,6,frog,5,dog,0.307070524,REMOVED,FIXED → Suggested_Class
21672,3,cat,4,deer,0.309903353,REMOVED,FIXED → Suggested_Class
18277,5,dog,6,frog,0.310397476,REMOVED,FIXED → Suggested_Class
26797,3,cat,5,dog,0.310955256,REMOVED,FIXED → Suggested_Class
1618,6,frog,4,deer,0.312634081,REMOVED,FIXED → Suggested_Class
34486,5,dog,3,cat,0.314619184,REMOVED,FIXED → Suggested_Class
12971,3,cat,5,dog,0.315074593,REMOVED,FIXED → Suggested_Class
35464,5,dog,2,bird,0.315564603,REMOVED,FIXED → Suggested_Class
35872,6,frog,3,cat,0.316571593,REMOVED,FIXED → Suggested_Class
49132,7,horse,2,bird,0.319398761,REMOVED,FIXED → Suggested_Class
45100,4,deer,3,cat,0.319689572,REMOVED,FIXED → Suggested_Class
717,3,cat,4,deer,0.319958419,REMOVED,FIXED → Suggested_Class
3280,5,dog,3,cat,0.320272535,REMOVED,FIXED → Suggested_Class
21200,6,frog,4,deer,0.322390735,REMOVED,FIXED → Suggested_Class
26689,3,cat,2,bird,0.322924048,REMOVED,FIXED → Suggested_Class
27721,0,airplane,5,dog,0.323916554,REMOVED,FIXED → Suggested_Class
43307,6,frog,5,dog,0.323925763,REMOVED,FIXED → Suggested_Class
9016,2,bird,4,deer,0.325203031,REMOVED,FIXED → Suggested_Class
5544,5,dog,7,horse,0.325832099,REMOVED,FIXED → Suggested_Class
46901,6,frog,5,dog,0.326079309,REMOVED,FIXED → Suggested_Class
36367,0,airplane,6,frog,0.32615,REMOVED,FIXED → Suggested_Class
48482,0,airplane,2,bird,0.326605916,REMOVED,FIXED → Suggested_Class
31130,0,airplane,2,bird,0.327298045,REMOVED,FIXED → Suggested_Class
40434,6,frog,5,dog,0.328826815,REMOVED,FIXED → Suggested_Class
32868,6,frog,4,deer,0.330960602,REMOVED,FIXED → Suggested_Class
43894,7,horse,2,bird,0.331971943,REMOVED,FIXED → Suggested_Class
44747,4,deer,9,truck,0.333540767,REMOVED,FIXED → Suggested_Class
26648,0,airplane,2,bird,0.333938539,REMOVED,FIXED → Suggested_Class
324,6,frog,7,horse,0.334804446,REMOVED,FIXED → Suggested_Class
